,wilcox_stat,wilcox_pval,cohens_d,adjusted_pval,metadata_r_id
H4ETer_pos,145.0,0.08472204560508317,0.7402761056695805,0.768566514999994,H4ETer
H5MTer_L_pos,145.0,0.08472204560508317,0.7402761056695807,0.768566514999994,H5MTer_L
H5MTer_U_pos,145.0,0.08472204560508317,0.7402761056695806,0.768566514999994,H5MTer_U
H6ET3er_pos,145.0,0.08472204560508317,0.740276105669581,0.768566514999994,H6ET3er
H6MTer_L_pos,151.0,0.04705744628217285,0.7870633771850075,0.768566514999994,H6MTer_L
H6MTer_U_pos,151.0,0.04705744628217285,0.7870633771849991,0.768566514999994,H6MTer_U
H6_ET2er_pos,145.0,0.08472204560508317,0.6908062695223268,0.768566514999994,H6_ET2er
H6_ETer_pos,145.0,0.08472204560508317,0.7402761056695814,0.768566514999994,H6_ETer
H7ET2er_pos,145.0,0.08472204560508317,0.6908062695223274,0.768566514999994,H7ET2er
H7MTer_L_pos,151.0,0.04705744628217285,0.7870633771850072,0.768566514999994,H7MTer_L
H7MTer_U_pos,151.0,0.04705744628217285,0.7870633771850071,0.768566514999994,H7MTer_U
H7_ETer_pos,145.0,0.08472204560508317,0.6908062695223268,0.768566514999994,H7_ETer
H7_TAer_pos,145.0,0.08472204560508317,0.740276105669581,0.768566514999994,H7_TAer
H8TAer_pos,145.0,0.08472204560508317,0.6908062695223267,0.768566514999994,H8TAer
HACD1m_neg,120.0,0.5268434347302196,0.5277644464170108,0.8325568463681905,HACD1m
HACD1m_pos,121.0,0.498738821650313,0.29701471979132577,0.8325568463681905,HACD1m
HACD9m_neg,104.0,0.9825901131969854,0.0675740967447112,0.9825901131969854,HACD9m
HACD9m_pos,127.0,0.3480712878701422,0.5039140142555696,0.8163976175996286,HACD9m
HAS1_pos,112.0,0.7766531265771661,0.45950688710626564,0.8802990064584605,HAS1
HAS2_pos,119.0,0.5557349624423149,0.5491967219791378,0.8325568463681905,HAS2
HAtly_pos,119.0,0.5557349624423149,0.5490656278830914,0.8325568463681905,HAtly
HBZOPT10m_pos,153.0,0.038165769458830004,0.7980952818781993,0.768566514999994,HBZOPT10m
HCO3_CLt_neg,99.0,0.8102077621133137,-0.01916748651629861,0.9014334247236789,HCO3_CLt
HCO3_CLt_pos,121.0,0.498738821650313,0.2625351671944666,0.8325568463681905,HCO3_CLt
HCO3_NAt_neg,104.0,0.9825901131969854,0.08261706844318545,0.9825901131969854,HCO3_NAt
HCO3_NAt_pos,112.0,0.7766531265771661,0.16795899055327396,0.8802990064584605,HCO3_NAt
HCOUMARINte_neg,136.0,0.18314652532853137,0.46592661742798575,0.768566514999994,HCOUMARINte
HDCACBP_pos,109.0,0.8785934392551416,0.1938692836749521,0.9344865934304979,HDCACBP
HDCAtr_neg,148.0,0.0636173544421638,0.4898277534243763,0.768566514999994,HDCAtr
HDCAtr_pos,97.0,0.7434206976952524,0.28639204992710365,0.8802990064584605,HDCAtr
HDCEAtr_pos,125.0,0.3947417052130072,0.5485300047916778,0.8163976175996286,HDCEAtr
HDD2COAtx_neg,122.0,0.4714517068389269,0.7158554792224332,0.8325568463681905,HDD2COAtx
HDD2COAtx_pos,112.0,0.7766531265771661,0.37553400088428324,0.8802990064584605,HDD2COAtx
HDDACBP_pos,113.0,0.7434206976952524,0.29058031692969877,0.8802990064584605,HDDACBP
HDECAACBP_pos,115.0,0.6784245040488326,0.23001612503318164,0.877653145977064,HDECAACBP
HDECEACBP_pos,114.0,0.7106595685403921,0.2658011950484751,0.8802990064584605,HDECEACBP
HEDCECRNe_pos,114.0,0.7106595685403921,0.26580119504847505,0.8802990064584605,HEDCECRNe
HESTRATRIOLte_pos,111.0,0.810299496070296,0.3657539384702676,0.9014334247236789,HESTRATRIOLte
HESTRATRIOLtr_neg,111.0,0.810299496070296,0.365753938470271,0.9014334247236789,HESTRATRIOLtr
HEX10_pos,130.0,0.28494907768465494,0.44736293407193806,0.8085192092878628,HEX10
HEX1_pos,123.0,0.445008718746736,0.46033404601628974,0.8325568463681905,HEX1
HEX4_pos,135.0,0.1979251021111571,0.6829628751986053,0.768566514999994,HEX4
HEX7_pos,131.0,0.2657465520914202,0.4895343258419369,0.7951176781692563,HEX7
HEXCCOAtx_pos,113.0,0.7434206976952524,0.22157247635228627,0.8802990064584605,HEXCCOAtx
HEXCOAACBP_pos,121.0,0.498738821650313,0.5576888993343692,0.8325568463681905,HEXCOAACBP
HEXCt_pos,113.0,0.7434206976952524,0.22157247635229632,0.8802990064584605,HEXCt
HEXDCRNe_pos,115.0,0.6784245040488326,0.23001612503318158,0.877653145977064,HEXDCRNe
HEXDIACTD_pos,115.0,0.6784245040488326,0.41262887636631057,0.877653145977064,HEXDIACTD
HEXDICOAACBP_pos,131.0,0.2657465520914202,0.47804276405209556,0.7951176781692563,HEXDICOAACBP
HEXDICOAACBPx_pos,115.0,0.6784245040488326,0.41300455447808926,0.877653145977064,HEXDICOAACBPx
HGNTOR_pos,136.0,0.18314652532853137,0.7967752809737156,0.768566514999994,HGNTOR
