met,metName,degree,keggID,hmdbID,stringsAsFactors,compartment,met_no_compartment,met_Rid
cdpchol[c],CDPcholine,4,C00307,HMDB01413,FALSE,[c],cdpchol,cdpchol.c.
glx[m],glyoxylate,4,C00048,HMDB00119,FALSE,[m],glx,glx.m.
xol7aone[c],7alpha-hydroxycholest-4-en-3-one,4,C05455,HMDB01993,FALSE,[c],xol7aone,xol7aone.c.
5HPET[c],5(S)-HPETE(1-),4,C05356,HMDB01193,FALSE,[c],5HPET,X5HPET.c.
cholcoar[x],"(25R)-3alpha,7alpha,12alpha-trihydroxy-5beta-cholestan-26-oyl-CoA(4-)",4,C05448,HMDB02178,FALSE,[x],cholcoar,cholcoar.x.
cgly[c],L-cysteinylglycine,4,C01419,HMDB00078,FALSE,[c],cgly,cgly.c.
arach[e],arachidate,4,C06425,HMDB02212,FALSE,[e],arach,arach.e.
arach[c],arachidate,4,C06425,HMDB02212,FALSE,[c],arach,arach.c.
galside_hs[l],D-galactosyl-N-acylsphingosine,4,,,FALSE,[l],galside_hs,galside_hs.l.
Rtotal3[c],R total 3 position,4,,,FALSE,[c],Rtotal3,Rtotal3.c.
lnlncacoa[c],alpha-Linolenoyl-CoA,4,C16162,HMDB06290,FALSE,[c],lnlncacoa,lnlncacoa.c.
c226coa[c],cervonyl coenzyme A,4,C16169,,FALSE,[c],c226coa,c226coa.c.
hexccoa[c],Hexacosanoyl-CoA (n-C26:0CoA),4,,HMDB06459,FALSE,[c],hexccoa,hexccoa.c.
tetpent6coa[c],"tetracosapentaenoyl coenzyme A, n-6",4,C16172,,FALSE,[c],tetpent6coa,tetpent6coa.c.
tettet6coa[c],tetracosatetraenoyl coenzyme A,4,C16171,HMDB06516,FALSE,[c],tettet6coa,tettet6coa.c.
tethex3coa[c],tetracosahexaenoyl coenzyme A,4,C16168,HMDB06243,FALSE,[c],tethex3coa,tethex3coa.c.
crm_hs[l],N-acylsphingosine,4,,,FALSE,[l],crm_hs,crm_hs.l.
atp[e],ATP,4,C00002,HMDB00538,FALSE,[e],atp,atp.e.
avite1[c],(+)-alpha-tocopherol,4,C02477,HMDB01893,FALSE,[c],avite1,avite1.c.
avite2[c],alpha-tocotrienol,4,C14153,HMDB06327,FALSE,[c],avite2,avite2.c.
gbside_hs[g],globoside,4,,,FALSE,[g],gbside_hs,gbside_hs.g.
galgbside_hs[g],galactosylgloboside,4,,,FALSE,[g],galgbside_hs,galgbside_hs.g.
galacglcgalgluside_hs[g],Lc4Cer,4,,,FALSE,[g],galacglcgalgluside_hs,galacglcgalgluside_hs.g.
bildglcur[r],bis(beta-glucosyluronate)bilirubin,4,C05787,HMDB03325,FALSE,[r],bildglcur,bildglcur.r.
bilirub[r],bilirubin(2-),4,C00486,HMDB00054,FALSE,[r],bilirub,bilirub.r.
44mzym[r],14-demethyllanosterol,4,C05108,HMDB01286,FALSE,[r],44mzym,X44mzym.r.
arachdcrn[c],C20:4 carnitine,4,,,FALSE,[c],arachdcrn,arachdcrn.c.
c226coa[x],cervonyl coenzyme A,4,C16169,,FALSE,[x],c226coa,c226coa.x.
c226coa[m],cervonyl coenzyme A,4,C16169,,FALSE,[m],c226coa,c226coa.m.
4mzym_int2[r],4-Methylzymosterol intermediate 2,4,C15816,HMDB06838,FALSE,[r],4mzym_int2,X4mzym_int2.r.
ca2[c],calcium(2+),4,C00076,HMDB00464,FALSE,[c],ca2,ca2.c.
gluside_hs[c],D-glucosyl-N-acylsphingosine,4,,,FALSE,[c],gluside_hs,gluside_hs.c.
coa[n],Coenzyme A,4,C00010,HMDB01423,FALSE,[n],coa,coa.n.
pep[m],Phosphoenolpyruvate,4,C00074,HMDB00263,FALSE,[m],pep,pep.m.
i[e],iodide,4,C00708,HMDB12238,FALSE,[e],i,i.e.
oxa[e],oxalate(2-),4,C00209,HMDB02329,FALSE,[e],oxa,oxa.e.
pglyc_hs[c],phosphatidylglycerol(1-),4,,,FALSE,[c],pglyc_hs,pglyc_hs.c.
pcrn[c],propionyl-carnitine,4,C03017,HMDB00824,FALSE,[c],pcrn,pcrn.c.
crn[e],L-Carnitine,4,C15025,HMDB00062,FALSE,[e],crn,crn.e.
crtsl[c],cortisol,4,C00735,HMDB00063,FALSE,[c],crtsl,crtsl.c.
crtsl[r],cortisol,4,C00735,HMDB00063,FALSE,[r],crtsl,crtsl.r.
dmnoncoa[x],"4,8 dimethylnonanoyl-CoA",4,,HMDB11604,FALSE,[x],dmnoncoa,dmnoncoa.x.
mercppyr[c],3-mercaptopyruvate,4,C00957,HMDB01368,FALSE,[c],mercppyr,mercppyr.c.
dgdp[n],dGDP,4,C00361,HMDB00960,FALSE,[n],dgdp,dgdp.n.
gdp[n],GDP,4,C00035,HMDB01201,FALSE,[n],gdp,gdp.n.
dad_2[e],2-deoxyadenosine,4,C00559,HMDB00101,FALSE,[e],dad_2,dad_2.e.
din[e],Deoxyinosine,4,C05512,HMDB00071,FALSE,[e],din,din.e.
dag_hs[n],diglyceride,4,,,FALSE,[n],dag_hs,dag_hs.n.
dag_hs[e],diglyceride,4,,,FALSE,[e],dag_hs,dag_hs.e.
dd2coa[m],trans-Dodec-2-enoyl-CoA,4,C03221,HMDB03712,FALSE,[m],dd2coa,dd2coa.m.
dcsptn1coa[m],"docosa-4,7,10,13,16-pentaenoyl coenzyme A",4,C16173,HMDB06513,FALSE,[m],dcsptn1coa,dcsptn1coa.m.
tag_hs[c],triglyceride,4,,,FALSE,[c],tag_hs,tag_hs.c.
dgmp[c],dGMP,4,C00362,HMDB01044,FALSE,[c],dgmp,dgmp.c.
zymstnl[r],5alpha-cholest-8-en-3beta-ol,4,C03845,HMDB06841,FALSE,[r],zymstnl,zymstnl.r.
chlstol[r],"5alpha-cholesta-7,24-dien-3beta-ol",4,C05439,HMDB06842,FALSE,[r],chlstol,chlstol.r.
dhcrm_hs[c],dihydroceramide,4,,,FALSE,[c],dhcrm_hs,dhcrm_hs.c.
dhea[c],3beta-hydroxyandrost-5-en-17-one,4,C01227,HMDB00077,FALSE,[c],dhea,dhea.c.
dhf[m],"7,8-Dihydrofolate",4,C00415,HMDB01056,FALSE,[m],dhf,dhf.m.
orot[c],Orotate,4,C00295,HMDB00226,FALSE,[c],orot,orot.c.
56dthm[c],"5,6-dihydrothymine",4,C00906,HMDB00079,FALSE,[c],56dthm,X56dthm.c.
sprm[c],spermine(4+),4,C00750,HMDB01256,FALSE,[c],sprm,sprm.c.
dnad[c],Deamino-NAD+,4,C00857,HMDB01179,FALSE,[c],dnad,dnad.c.
g3m8masn[r],(alpha-D-Glucosyl)3-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein),4,C05873,,FALSE,[r],g3m8masn,g3m8masn.r.
dpcoa[c],Dephospho-CoA,4,C00882,HMDB01373,FALSE,[c],dpcoa,dpcoa.c.
dtdp[n],dTDP,4,C00363,HMDB01274,FALSE,[n],dtdp,dtdp.n.
glc1man[g],"glucose-1,3-mannose oligosaccharide",4,C04147,,FALSE,[g],glc1man,glc1man.g.
m6masnC[g],(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein),4,,,FALSE,[g],m6masnC,m6masnC.g.
m6masnB2[g],(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein),4,,,FALSE,[g],m6masnB2,m6masnB2.g.
m5masnB1[g],(alpha-D-mannosyl)5-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein),4,,,FALSE,[g],m5masnB1,m5masnB1.g.
etha[c],etha[c],4,C00189,HMDB00149,FALSE,[c],etha,etha.c.
cmp[e],CMP,4,C00055,HMDB00095,FALSE,[e],cmp,cmp.e.
fe3[e],Fe3+,4,C14819,HMDB12943,FALSE,[e],fe3,fe3.e.
fru[e],D-Fructose,4,C02336,HMDB00660,FALSE,[e],fru,fru.e.
inost[e],myo-inositol,4,C00137,HMDB00211,FALSE,[e],inost,inost.e.
ksi[e],keratan sulfate I,4,,,FALSE,[e],ksi,ksi.e.
lcts[e],Lactose,4,C00243,HMDB00186,FALSE,[e],lcts,lcts.e.
lgnc[e],lignocerate,4,C08320,HMDB02003,FALSE,[e],lgnc,lgnc.e.
lnlc[e],linoleate,4,C01595,HMDB00673,FALSE,[e],lnlc,lnlc.e.
lpchol_hs[e],lysophosphatidylcholine,4,,,FALSE,[e],lpchol_hs,lpchol_hs.e.
mag_hs[e],monoacylglycerol 2,4,,,FALSE,[e],mag_hs,mag_hs.e.
nac[e],Nicotinate,4,C00253,HMDB01488,FALSE,[e],nac,nac.e.
ocdca[e],octadecanoate (n-C18:0),4,C01530,HMDB00827,FALSE,[e],ocdca,ocdca.e.
pe_hs[e],phosphatidylethanolamine,4,,,FALSE,[e],pe_hs,pe_hs.e.
Rtotal3[e],R total 3 position,4,,,FALSE,[e],Rtotal3,Rtotal3.e.
s2l2fn2m2masn[e],PA6,4,,,FALSE,[e],s2l2fn2m2masn,s2l2fn2m2masn.e.
tag_hs[e],triglyceride,4,,,FALSE,[e],tag_hs,tag_hs.e.
thymd[e],Thymidine,4,C00214,HMDB00273,FALSE,[e],thymd,thymd.e.
ttdca[e],tetradecanoate (n-C14:0),4,C06424,HMDB00806,FALSE,[e],ttdca,ttdca.e.
udp[e],UDP,4,C00015,HMDB00295,FALSE,[e],udp,udp.e.
urate[e],Urate,4,C00366,HMDB00289,FALSE,[e],urate,urate.e.
urea[e],Urea,4,C00086,HMDB00294,FALSE,[e],urea,urea.e.
utp[e],UTP,4,C00075,HMDB00285,FALSE,[e],utp,utp.e.
gdpfuc[c],GDP-L-fucose(2-),4,C00325,HMDB01095,FALSE,[c],gdpfuc,gdpfuc.c.
n2m2masn[g],((N-acetyl-D-glucosaminyl)2-(alpha-D-mannosyl)2-beta-D-mannosyl-diacetylchitobiosyl)-L-asparagine (protein),4,C11530,,FALSE,[g],n2m2masn,n2m2masn.g.
ddca[c],laurate,4,C02679,HMDB00638,FALSE,[c],ddca,ddca.c.
ptdcacoa[m],pentadecanoyl Coenzyme A,4,,HMDB06499,FALSE,[m],ptdcacoa,ptdcacoa.m.
lnlncgcoa[x],gamma-linolenoyl-CoA(4-),4,C03035,HMDB06368,FALSE,[x],lnlncgcoa,lnlncgcoa.x.
strdnccoa[x],stearidonyl coenzyme A,4,C16163,HMDB06519,FALSE,[x],strdnccoa,strdnccoa.x.
tmndnccoa[m],timnodonyl coenzyme A,4,,HMDB06514,FALSE,[m],tmndnccoa,tmndnccoa.m.
tmndnccoa[x],timnodonyl coenzyme A,4,,HMDB06514,FALSE,[x],tmndnccoa,tmndnccoa.x.
nrvnccoa[x],nervonyl coenzyme A,4,C16532,,FALSE,[x],nrvnccoa,nrvnccoa.x.
fdp[c],"D-Fructose 1,6-bisphosphate",4,C00354,HMDB01058,FALSE,[c],fdp,fdp.c.
for[r],Formate,4,C00058,HMDB00142,FALSE,[r],for,for.r.
frdp[r],Farnesyl diphosphate,4,C00448,HMDB00961,FALSE,[r],frdp,frdp.r.
1pyr5c[c],1-Pyrroline-5-carboxylate,4,C04322,HMDB01301,FALSE,[c],1pyr5c,X1pyr5c.c.
6pgl[c],"6-phospho-D-glucono-1,5-lactone",4,C01236,HMDB01127,FALSE,[c],6pgl,X6pgl.c.
galside_hs[g],D-galactosyl-N-acylsphingosine,4,,,FALSE,[g],galside_hs,galside_hs.g.
gd3_hs[g],GD3,4,,,FALSE,[g],gd3_hs,gd3_hs.g.
galside_hs[c],D-galactosyl-N-acylsphingosine,4,,,FALSE,[c],galside_hs,galside_hs.c.
gam[c],D-Glucosamine,4,C00329,HMDB01514,FALSE,[c],gam,gam.c.
glyclt[c],glycolate,4,C00160,HMDB00115,FALSE,[c],glyclt,glyclt.c.
ser_L[m],L-serine,4,C00065,HMDB00187,FALSE,[m],ser_L,ser_L.m.
cs_c_d_e_pre1[g],"chondroitin sulfate C (GalNAc6S-GlcA) and D (GlcNAc6S-GlcA2S), precursor 1",4,,,FALSE,[g],cs_c_d_e_pre1,cs_c_d_e_pre1.g.
glygn3[c],"glycogen, structure 3 (glycogenin-7[1,4-Glc])",4,,,FALSE,[c],glygn3,glygn3.c.
glx[c],glyoxylate,4,C00048,HMDB00119,FALSE,[c],glx,glx.c.
glyc_R[c],D-glycerate,4,C00258,HMDB00139,FALSE,[c],glyc_R,glyc_R.c.
m3gacpail_hs[r],trimannosyl-glucosaminyl-acylphosphatidylinositol (H4),4,,,FALSE,[r],m3gacpail_hs,m3gacpail_hs.r.
hmgcoa[m],Hydroxymethylglutaryl-CoA,4,C00356,HMDB01375,FALSE,[m],hmgcoa,hmgcoa.m.
pheme[c],Protoheme,4,C00032,HMDB03178,FALSE,[c],pheme,pheme.c.
phyt2ohcoa[x],2-hydroxyphytanoyl-CoA(4-),4,C07343,HMDB01295,FALSE,[x],phyt2ohcoa,phyt2ohcoa.x.
prgnlone[r],pregnenolone,4,C01953,HMDB00253,FALSE,[r],prgnlone,prgnlone.r.
pyam5p[c],Pyridoxamine 5'-phosphate,4,C00647,HMDB01555,FALSE,[c],pyam5p,pyam5p.c.
pydam[c],Pyridoxamine,4,C00534,HMDB01431,FALSE,[c],pydam,pydam.c.
ile_L[m],L-isoleucine,4,C00407,HMDB00172,FALSE,[m],ile_L,ile_L.m.
anth[c],anthranilate,4,C00108,HMDB01123,FALSE,[c],anth,anth.c.
lac_L[m],(S)-lactate,4,C00186,HMDB00190,FALSE,[m],lac_L,lac_L.m.
leu_L[m],L-leucine,4,C00123,HMDB00687,FALSE,[m],leu_L,leu_L.m.
cs_c_deg5[l],"chondroitin sulfate C (GalNAc6S-GlcA), degradation product 5",4,,,FALSE,[l],cs_c_deg5,cs_c_deg5.l.
lipoate[c],lipoate,4,C16241,HMDB01451,FALSE,[c],lipoate,lipoate.c.
mag_hs[c],monoacylglycerol 2,4,,,FALSE,[c],mag_hs,mag_hs.c.
retfa[c],fatty acid retinol,4,,,FALSE,[c],retfa,retfa.c.
pd3[c],Previtamin D3,4,C07711,HMDB06500,FALSE,[c],pd3,pd3.c.
m4masn[g],(alpha-D-mannosyl)4-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein),4,C05881,,FALSE,[g],m4masn,m4masn.g.
tcynt[c],thiocyanate,4,C01755,HMDB01453,FALSE,[c],tcynt,tcynt.c.
mescoa[m],Mesaconyl-CoA,4,C06028,,FALSE,[m],mescoa,mescoa.m.
mi13456p[c],"myo-inositol 1,3,4,5,6-pentakisphosphate(10-)",4,C01284,HMDB03529,FALSE,[c],mi13456p,mi13456p.c.
mi134p[c],"1D-myo-inositol 1,3,4-trisphosphate(6-)",4,C01243,HMDB01143,FALSE,[c],mi134p,mi134p.c.
mmcoa_S[m],(S)-methylmalonyl-CoA(5-),4,C00683,HMDB02310,FALSE,[m],mmcoa_S,mmcoa_S.m.
udp[l],UDP,4,C00015,HMDB00295,FALSE,[l],udp,udp.l.
udpacgal[l],UDP-N-acetyl-D-galactosamine(2-),4,C00203,HMDB00304,FALSE,[l],udpacgal,udpacgal.l.
xoltetrol[m],"5beta-cholestane-3alpha,7alpha,12alpha,26-tetrol",4,C05446,HMDB01231,FALSE,[m],xoltetrol,xoltetrol.m.
thcholstoic[m],"3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanoate",4,C04722,HMDB03873,FALSE,[m],thcholstoic,thcholstoic.m.
xol7ah2[m],"5beta-cholestane-3alpha,7alpha-diol",4,C05452,HMDB06893,FALSE,[m],xol7ah2,xol7ah2.m.
xol7ah3[m],"5beta-cholestane-3alpha,7alpha,26-triol",4,C05444,HMDB12455,FALSE,[m],xol7ah3,xol7ah3.m.
xol7ah2al[m],"3alpha,7alpha-dihydroxy-5beta-cholestan-26-al",4,C05445,HMDB06894,FALSE,[m],xol7ah2al,xol7ah2al.m.
xol27oh[m],26-hydroxycholesterol,4,C15610,HMDB02103,FALSE,[m],xol27oh,xol27oh.m.
pa_hs[r],phosphatidate(2-),4,,,FALSE,[r],pa_hs,pa_hs.r.
pa_hs[g],phosphatidate(2-),4,,,FALSE,[g],pa_hs,pa_hs.g.
pchol_hs[m],Phosphatidylcholine,4,,,FALSE,[m],pchol_hs,pchol_hs.m.
pchol_hs[r],Phosphatidylcholine,4,,,FALSE,[r],pchol_hs,pchol_hs.r.
pdx5p[c],Pyridoxine 5'-phosphate,4,C00627,HMDB01319,FALSE,[c],pdx5p,pdx5p.c.
pydxn[c],Pyridoxine,4,C00314,HMDB00239,FALSE,[c],pydxn,pydxn.c.
prostgd2[r],prostaglandin D2(1-),4,C00696,HMDB01403,FALSE,[r],prostgd2,prostgd2.r.
pail345p_hs[n],"1-phosphatidyl-1D-myo-inositol 3,4,5-trisphosphate(7-)",4,,,FALSE,[n],pail345p_hs,pail345p_hs.n.
pail34p_hs[c],"1-phosphatidyl-1D-myo-inositol 3,4-bisphosphate(5-)",4,,,FALSE,[c],pail34p_hs,pail34p_hs.c.
pail_hs[r],1-phosphatidyl-1D-myo-inositol(1-),4,,,FALSE,[r],pail_hs,pail_hs.r.
4ppcys[c],N-((R)-4-Phosphopantothenoyl)-L-cysteine,4,C04352,HMDB01117,FALSE,[c],4ppcys,X4ppcys.c.
retinal_cis_13[c],13-cis-retinal,4,C00376,HMDB06220,FALSE,[c],retinal_cis_13,retinal_cis_13.c.
retinal_11_cis[c],11-cis-retinal,4,C02110,HMDB02152,FALSE,[c],retinal_11_cis,retinal_11_cis.c.
retinal_cis_9[c],all-trans-retinal,4,C00376,HMDB01358,FALSE,[c],retinal_cis_9,retinal_cis_9.c.
rib_D[c],D-ribose,4,C00121,HMDB00283,FALSE,[c],rib_D,rib_D.c.
acngalgbside_hs[g],sialyl galactosylgloboside,4,,,FALSE,[g],acngalgbside_hs,acngalgbside_hs.g.
sphings[c],sphingosine(1+),4,C00319,HMDB00252,FALSE,[c],sphings,sphings.c.
sphs1p[c],sphingosine 1-phosphate(1-),4,C06124,HMDB00277,FALSE,[c],sphs1p,sphs1p.c.
gd1a_hs[g],N-acetylneuraminosyl-D-galactosyl-N-acetyl-D-galactosaminyl-(N-acetylneuraminosyl)-D-galactosyl-D-glucosylceramide dianion,4,,,FALSE,[g],gd1a_hs,gd1a_hs.g.
s7p[c],Sedoheptulose 7-phosphate,4,C05382,HMDB01068,FALSE,[c],s7p,s7p.c.
thmmp[c],Thiamin monophosphate,4,C01081,HMDB02666,FALSE,[c],thmmp,thmmp.c.
thmpp[m],Thiamine diphosphate,4,C00068,HMDB01372,FALSE,[m],thmpp,thmpp.m.
tststerone[c],testosterone,4,C00535,HMDB00234,FALSE,[c],tststerone,tststerone.c.
tym[c],tyraminium,4,C00483,HMDB00306,FALSE,[c],tym,tym.c.
tyr_L[m],L-tyrosine,4,C00082,HMDB00158,FALSE,[m],tyr_L,tyr_L.m.
uppg3[c],Uroporphyrinogen III,4,C01051,HMDB01086,FALSE,[c],uppg3,uppg3.c.
val_L[m],L-valine,4,C00183,HMDB00883,FALSE,[m],val_L,val_L.m.
xan[x],Xanthine,4,C00385,HMDB00292,FALSE,[x],xan,xan.x.
xoltri27[c],"7alpha,26-dihydroxycholesterol",4,C06341,HMDB06281,FALSE,[c],xoltri27,xoltri27.c.
xylt[c],xylitol,4,C00379,HMDB02917,FALSE,[c],xylt,xylt.c.
HC00250[c],hydrosulfide,4,C00283,HMDB03276,FALSE,[c],HC00250,HC00250.c.
HC01161[c],Apo-ACP,4,,,FALSE,[c],HC01161,HC01161.c.
HC10859[c],Malonyl-Carnitin,4,,,FALSE,[c],HC10859,HC10859.c.
lnlccoa[x],linoleic coenzyme A,4,C02050,HMDB01064,FALSE,[x],lnlccoa,lnlccoa.x.
arachdcoa[r],arachidonoyl-CoA(4-),4,C02249,HMDB06523,FALSE,[r],arachdcoa,arachdcoa.r.
mev_R[c],(R)-mevalonate,4,C00418,HMDB00227,FALSE,[c],mev_R,mev_R.c.
pan4p[m],Pantetheine 4'-phosphate,4,C01134,HMDB01416,FALSE,[m],pan4p,pan4p.m.
4hpro_LT[c],trans-4-hydroxy-L-proline,4,C01157,HMDB00725,FALSE,[c],4hpro_LT,X4hpro_LT.c.
4hpro_LT[m],trans-4-hydroxy-L-proline,4,C01157,HMDB00725,FALSE,[m],4hpro_LT,X4hpro_LT.m.
C02470[c],Xanthurenic acid,4,C02470,HMDB00881,FALSE,[c],C02470,C02470.c.
dd2coa[x],trans-Dodec-2-enoyl-CoA,4,C03221,HMDB03712,FALSE,[x],dd2coa,dd2coa.x.
xol7ah2al[c],"3alpha,7alpha-dihydroxy-5beta-cholestan-26-al",4,C05445,HMDB06894,FALSE,[c],xol7ah2al,xol7ah2al.c.
dhcholestanate[c],"3alpha,7alpha-Dihydroxy-5beta-cholestanate",4,C04554,HMDB00359,FALSE,[c],dhcholestanate,dhcholestanate.c.
HC00004[c],ApoA1,4,,,FALSE,[c],HC00004,HC00004.c.
strdnc[r],"stearidonic acid C18:4, n-3",4,C16300,HMDB06547,FALSE,[r],strdnc,strdnc.r.
lnlc[r],linoleate,4,C01595,HMDB00673,FALSE,[r],lnlc,lnlc.r.
met_L[m],L-methionine,4,C00073,HMDB00696,FALSE,[m],met_L,met_L.m.
odecoa[r],Octadecenoyl-CoA (n-C18:1CoA),4,C00510,HMDB01322,FALSE,[r],odecoa,odecoa.r.
lnlncg[r],gamma-linolenate,4,C06426,HMDB03073,FALSE,[r],lnlncg,lnlncg.r.
dlnlcgcoa[r],dihomo-gamma-linolenyl coenzyme A,4,C03595,,FALSE,[r],dlnlcgcoa,dlnlcgcoa.r.
HC02220[c],sulfochenodeoxycholate,4,,,FALSE,[c],HC02220,HC02220.c.
HC02194[c],ursodeoxycholate,4,,,FALSE,[c],HC02194,HC02194.c.
HC02197[c],sulfoglycolithocholate(2-),4,,,FALSE,[c],HC02197,HC02197.c.
N1aspmd[c],N(1)-acetylspermidinium(2+),4,C00612,HMDB01276,FALSE,[c],N1aspmd,N1aspmd.c.
CE2432[m],"trans-2-cis,cis-5,8-tetradecatrienoyl-CoA",4,,,FALSE,[m],CE2432,CE2432.m.
CE1272[c],"5beta-cholestane-3alpha,7alpha,12alpha,25-tetrol",4,,HMDB00655,FALSE,[c],CE1272,CE1272.c.
CE4990[c],12-oxo-leukotriene B4,4,C05949,HMDB04234,FALSE,[c],CE4990,CE4990.c.
CE1617[r],9-cis-retinoate,4,C15493,HMDB02369,FALSE,[r],CE1617,CE1617.r.
retinal_cis_13[r],13-cis-retinal,4,C00376,HMDB06220,FALSE,[r],retinal_cis_13,retinal_cis_13.r.
CE1617[c],9-cis-retinoate,4,C15493,HMDB02369,FALSE,[c],CE1617,CE1617.c.
C09642[c],(-)-Salsolinol,4,C09642,HMDB05199,FALSE,[c],C09642,C09642.c.
no2[c],Nitrite,4,C00088,HMDB02786,FALSE,[c],no2,no2.c.
CE5786[e],kinetensin,4,,HMDB12988,FALSE,[e],CE5786,CE5786.e.
CE4872[c],"3alpha,7alpha,12alpha-trihydroxy-5beta-cholestan-27-al",4,,,FALSE,[c],CE4872,CE4872.c.
CE2567[c],"5(S),6(S)-epoxy-15(S)-hydroxy-7E,9E,11Z,13E-eicosatetraenoic acid anion",4,,,FALSE,[c],CE2567,CE2567.c.
CE4849[c],"3(S)-hydroxy-tetracosa-12,15,18,21-all-cis-tetraenoyl-CoA",4,,,FALSE,[c],CE4849,CE4849.c.
CE4849[r],"3(S)-hydroxy-tetracosa-12,15,18,21-all-cis-tetraenoyl-CoA",4,,,FALSE,[r],CE4849,CE4849.r.
C04805[c],5(S)-HETE,4,C04805,HMDB11134,FALSE,[c],C04805,C04805.c.
CE7079[c],leukotriene A5,4,,,FALSE,[c],CE7079,CE7079.c.
C04849[c],"(5Z,9E,14Z)-(8xi,11R,12S)-11,12-epoxy-8-hydroxyicosa-5,9,14-trienoate",4,C04849,,FALSE,[c],C04849,C04849.c.
adpcoa[x],adipoylcoa,4,C14143,HMDB04047,FALSE,[x],adpcoa,adpcoa.x.
c12dccoa[x],dodecanedioylcoa,4,,,FALSE,[x],c12dccoa,c12dccoa.x.
c4crn[c],butyryl carnitine,4,C02862,HMDB02013,FALSE,[c],c4crn,c4crn.c.
dece3coa[m],3-decenoylcoa,4,,HMDB02137,FALSE,[m],dece3coa,dece3coa.m.
sebcoa[x],sebacoylcoa,4,,,FALSE,[x],sebcoa,sebcoa.x.
sbcoa[x],suberylcoa,4,,,FALSE,[x],sbcoa,sbcoa.x.
4hpro_LT[e],trans-4-hydroxy-L-proline,4,C01157,HMDB00725,FALSE,[e],4hpro_LT,X4hpro_LT.e.
bglc[e],beta-glucans,4,,,FALSE,[e],bglc,bglc.e.
gum[e],gums,4,,,FALSE,[e],gum,gum.e.
pect[e],pectins,4,,,FALSE,[e],pect,pect.e.
psyl[e],psyllium,4,,,FALSE,[e],psyl,psyl.e.
dpcoa[e],Dephospho-CoA,4,C00882,HMDB01373,FALSE,[e],dpcoa,dpcoa.e.
pan4p[e],Pantetheine 4'-phosphate,4,C01134,HMDB01416,FALSE,[e],pan4p,pan4p.e.
10fthf5glu[l],10-formyltetrahydrofolate-[Glu](5),3,,,FALSE,[l],10fthf5glu,X10fthf5glu.l.
10fthf5glu[m],10-formyltetrahydrofolate-[Glu](5),3,,,FALSE,[m],10fthf5glu,X10fthf5glu.m.
10fthf6glu[l],10-formyltetrahydrofolate-[Glu](6),3,,,FALSE,[l],10fthf6glu,X10fthf6glu.l.
10fthf6glu[m],10-formyltetrahydrofolate-[Glu](6),3,,,FALSE,[m],10fthf6glu,X10fthf6glu.m.
10fthf7glu[c],10-formyltetrahydrofolate-[Glu](7),3,,,FALSE,[c],10fthf7glu,X10fthf7glu.c.
11docrtstrn[m],11-deoxycorticosterone,3,C03205,HMDB00016,FALSE,[m],11docrtstrn,X11docrtstrn.m.
2425dhvitd2[m],"24R,25-Dihyoxyvitamin D2",3,,,FALSE,[m],2425dhvitd2,X2425dhvitd2.m.
2425dhvitd3[c],"(24R)-24,25-dihydroxycalciol",3,,,FALSE,[c],2425dhvitd3,X2425dhvitd3.c.
25hvitd2[e],25-Hydroxyvitamin D2,3,,HMDB01438,FALSE,[e],25hvitd2,X25hvitd2.e.
25hvitd3[e],calcidiol,3,C01561,HMDB03550,FALSE,[e],25hvitd3,X25hvitd3.e.
drib[c],2-deoxy-D-ribose,3,C01801,HMDB03224,FALSE,[c],drib,drib.c.
2oxoadp[c],2-oxoadipate(2-),3,C00322,HMDB00225,FALSE,[c],2oxoadp,X2oxoadp.c.
34dhpha[c],"(3,4-dihydroxyphenyl)acetate",3,C01161,HMDB01336,FALSE,[c],34dhpha,X34dhpha.c.
34dhphe[e],L-dopa,3,C00355,HMDB00181,FALSE,[e],34dhphe,X34dhphe.e.
34hpp[c],3-(4-hydroxyphenyl)pyruvate,3,C01179,HMDB00707,FALSE,[c],34hpp,X34hpp.c.
3dphb[m],3-Decaprenyl-4-hydroxybenzoate,3,,HMDB06251,FALSE,[m],3dphb,X3dphb.m.
3dpdhb[m],"3-Decaprenyl-4,5-dihdydroxybenzoate",3,,,FALSE,[m],3dpdhb,X3dpdhb.m.
cmusa[c],"cis,cis-2-amino-3-(3-oxoprop-1-enyl)but-2-enedioate",3,C04409,HMDB01330,FALSE,[c],cmusa,cmusa.c.
3hmp[m],3-hydroxy-2-methylpropanoate,3,C06001,HMDB00023,FALSE,[m],3hmp,X3hmp.m.
3mob[c],3-methyl-2-oxobutanoate,3,C00141,HMDB00019,FALSE,[c],3mob,X3mob.c.
3mop[c],3-methyl-2-oxopentanoate,3,C03465,HMDB00491,FALSE,[c],3mop,X3mop.c.
3m4hpga[c],3-Methoxy-4-hydroxyphenylglycolaldehyde,3,C05583,HMDB04061,FALSE,[c],3m4hpga,X3m4hpga.c.
